day, html, javascript, css, ruby, sql,
1, 7, 54, 0, 0, 0,
2, 14, 200, 0, 0, 0,
3, 7, 93, 0, 0, 0,
4, 19, 140, 0, 0, 0,
5, 14, 201, 0, 0, 0,
6, 71, 301, 80, 0, 0,
7, 102, 0, 131, 0, 0,
8, 69, 200, 0, 0, 0,
9, 84, 99, 0, 0, 0,
10, 107, 159, 101, 0,
11, 70, 216, 28, 0, 0,
12, 26, 50, 0, 0, 0,
13, 36, 70, 12, 0, 0,
14, 230, 0, 78, 476, 0,
15, 27, 225, 63, 0, 0,
16, 17, 34, 25, 207, 0,
17, 0, 0, 0, 210, 0,
18, 0, 0, 0, 336, 0,
19, 50, 0, 9, 131, 0,
20, 51, 149, 330, 88, 37,
21, 158, 0, 59, 23, 213,
22, 105, 0, 0, 179, 0,
23, 170, 0, 33, 142, 0,
24, 152, 0, 74, 307, 0,
25, 42, 199, 47, 0, 0,
26, 56, 0, 61, 123, 0,
27, 74, 0, 12, 54, 0,
28, 28, 59, 34, 0, 0,
29, 70, 277, 20, 0, 0,
30, 100, 277, 0, 0, 0,
31, 159, 233, 69, 47, 0,
32, 24, 31, 0, 54, 0,
33, 139, 559, 247, 174, 0,
34, 18, 70, 34, 6, 0,
35, 52, 169, 104, 35, 0,
36, 52, 169, 104, 35, 0,
37, 52, 169, 104, 35, 0,
38, 52, 169, 104, 35, 0,
39, 52, 169, 104, 35, 0,
40, 0, 383, 0, 0, 0,
41, 24, 80, 0, 205, 0,
42, 0, 0, 0, 74, 0,
43, 20, 0, 0, 304, 0,
44, 0, 0, 0, 255, 0,
45, 0, 0, 0, 168, 0,
46, 11, 22, 0, 158, 0,
47, 0, 0, 0, 324, 0,
48, 0, 0, 0, 298, 0,
49, 131, 259, 12, 0, 0,
50, 52, 145, 4, 0, 0, 